source	Tweets	sentiment	id	spans/0	spans/1	spans/2	spans/3	spans/4
twitter	hipments on track to exceed forecasts    	0.367	7.0982097892737E+017	hipments on track to exceed forecasts				
twitter	LVMH affordable #luxe doing just fine helped by duty-free & confident mainstream shoppers    	0.45	7.19577031227404E+017	LVMH affordable #luxe doing just fine helped by duty-free & confident mainstream shoppers				
stocktwits	cover all    	0.114	5866562	cover all				
stocktwits	SS interest rose on 12/15 on day before we hit our lows. http://stks.co/c1QKr    	-0.405	30683869	SS interest rose on 12/15 on day before we hit our lows. http://stks.co/c1QKr				
twitter	Most bullish stocks on Twitter during this dip    	0.408	7.19909604654625E+017	Most bullish stocks on Twitter during this dip				
stocktwits	$FCX 1.9% now March $36 puts now +8.33%   	-0.327	7170859	$FCX 1.9% now	March $36 puts now +8.33%			
twitter	First quarter is amazing    	0.322	7.19888646241956E+017	First quarter is amazing				
twitter	$SAP Q1 disappoints as #software licenses down Real problem?   	-0.431	7.19599233280512E+017	$SAP Q1 disappoints as #software licenses down	Real problem?			
twitter	'Today''s losers    '	-0.317	7.19652260322476E+017	'Today''s losers'				
twitter	looking for a sharp move up in equities    	0.368	7.10143603524428E+017	looking for a sharp move up in equities				
stocktwits	gap fill coming up    	0.511	10893993	gap fill coming up				
twitter	'Report: Apple signs up for Google''s cloud uses much less of Amazon   '	-0.38	7.10221245716021E+017	'Report: Apple signs up for Google''s cloud'	uses much less of Amazon			
twitter	$FB TO $107 TOMORROW!? Show me the $$$   	0.539	7.19610624699839E+017	$FB TO $107 TOMORROW!?	Show me the $$$			
twitter	over 225 million new Internet users are being added globally every year    	0.337	7.19533807897047E+017	over 225 million new Internet users are being added globally every year				
twitter	Covered Call    	0.329	7.10127113127531E+017	Covered Call				
twitter	Long buying point   	0.66	7.19535349379285E+017	Long	buying point			
twitter	'I''ve been picking up railroad stocks for the retirement acct    '	0.441	7.19947639408603E+017	'I''ve been picking up railroad stocks for the retirement acct'				
stocktwits	when there is turmoil in the MENA region shippers perform    	0.397	15537605	when there is turmoil in the MENA region shippers perform				
twitter	Going back in   but slowly    	0.119	7.10793306100228E+017	Going back in   but slowly				
twitter	down 12% since I alerted it a short sell on 3-25    	-0.391	7.19651371025236E+017	down 12% since I alerted it a short sell on 3-25				
stocktwits	Bet the farm on    	0.395	7344888	Bet the farm on				
twitter	Interest Heats Up for @Yahoo $YHOO    	0.413	7.19487110235963E+017	Interest Heats Up for @Yahoo $YHOO				
stocktwits	the parties over volatility is back   	-0.223	11635675	the parties over	volatility is back			
twitter	Stocks Higher In Afternoon Trade    	0.314	7.19599977480253E+017	Stocks Higher In Afternoon Trade				
twitter	Highest call to put ratio    	0.348	7.19614954500858E+017	Highest call to put ratio				
twitter	Apparently Intel thinks women should get paid the same as men $INTC Gender Pay Parity at 100%   	0.447	7.19919514050105E+017	Apparently Intel thinks women should get paid the same as men	$INTC Gender Pay Parity at 100%			
stocktwits	$GS is looking weak while this market is moving higher not a good sign    	-0.597	12234095	$GS is looking weak while this market is moving higher not a good sign				
stocktwits	1Mil Buy order at    	0.426	23386645	1Mil Buy order at				
stocktwits	top stocks    	0.376	14584620	top stocks				
twitter	Top Stocks in 2015 are Ready to Lead Again in 2016    	0.414	7.10620435121971E+017	Top Stocks in 2015 are Ready to Lead Again in 2016				
stocktwits	640m globally this week on avengers really sick   Stan lee is a beast    	0.24	7873895	640m globally this week on avengers really sick   Stan lee is a beast				
twitter	plus its Irish based  getting rid of its generic biz   	0.226	7.19573068864033E+017	plus its Irish based	 getting rid of its generic biz			
twitter	In    	0.646	7.19557136292848E+017	In				
stocktwits	13F Shows New Stakes in     	0.468	5795737	13F Shows New Stakes in 				
stocktwits	gap up today?  they say the heat is coming   	0.446	25576950	gap up today? 	they say the heat is coming			
twitter	Breakout watch    	0.352	7.19665168431456E+017	Breakout watch				
twitter	Short Setups Looking Nice....Really Nice    	-0.464	7.09779449663721E+017	Short Setups Looking Nice....Really Nice				
stocktwits	getting a lot of hype    	0.095	33361082	getting a lot of hype				
twitter	Court tells states to leave $GOOG alone    	0.291	7.19567543476818E+017	Court tells states to leave $GOOG alone				
stocktwits	Got a nice push today    	0.28	36727619	Got a nice push today				
stocktwits	Unloaded $16  673 Worth of The Ensign Group   Inc. (NASDAQ:ENSG) Shares    	-0.46	37524115	Unloaded $16  673 Worth of The Ensign Group   Inc. (NASDAQ:ENSG) Shares				
stocktwits	$23 by the end of the week..did you snatch ur 21    	0.257	8398336	$23 by the end of the week..did you snatch ur 21				
stocktwits	continues its rally    	0.538	6230469	continues its rally				
stocktwits	it With Lawsuit from Russian Search Engine    	-0.17	32968483	it With Lawsuit from Russian Search Engine				
twitter	#oversold    	0.406	7.10594321481802E+017	#oversold				
twitter	have had 2 wks of fund inflows for the first time    	0.58	7.10843355966652E+017	have had 2 wks of fund inflows for the first time				
twitter	MU down 2.3% today and down 8.9%    	-0.469	7.19935795965071E+017	MU down 2.3% today and down 8.9%				
twitter	Unusual call buying    	0.336	7.11907079296934E+017	Unusual call buying				
stocktwits	$KO:US #COCA-COLA CO 19Oct Positive    	0.646	28162967	$KO:US #COCA-COLA CO 19Oct Positive				
stocktwits	Sales weak margins down debt still way up  	-0.515	9942259	Sales weak	margins down	debt still way up		
twitter	just broke resistance #redtogreen #breakout right out of the gate tomorrow morning 	0.598	7.19745272515957E+017	just broke resistance	#redtogreen	#breakout	right out of the gate tomorrow morning	
stocktwits	$FFIV up 7$    	0.32	6161405	$FFIV up 7$				
stocktwits	bot $CHRW    	0.437	6282743	bot $CHRW				
twitter	Break-out thru 50 & 200- DMA Short squeeze in progress   	0.504	7.19545434214113E+017	Break-out thru 50 & 200- DMA	Short squeeze in progress			
twitter	now up 2.2% Still holding   	0.523	7.0978769226394E+017	now up 2.2%	Still holding			
stocktwits	Bid for Reargument Denied by Judge    	-0.354	6137296	Bid for Reargument Denied by Judge				
stocktwits	with upcoming first support in a few days or weeks!    	0.274	12196849	with upcoming first support in a few days or weeks!				
twitter	$CAFN Cachet Financial Solutions Surging Forward today post earnings Up +13.26%    	0.418	7.08381020765053E+017	$CAFN Cachet Financial Solutions Surging Forward today post earnings Up +13.26%				
twitter	lots of green on the 5 min    	0.318	7.1953423607661E+017	lots of green on the 5 min				
stocktwits	looking to buy    	0.32	30855388	looking to buy				
stocktwits	'I don''t think is the right fit    '	-0.296	6117808	'I don''t think is the right fit'				
stocktwits	stochastics finally starting to turn up Buying here   	0.702	5817518	stochastics finally starting to turn up	Buying here			
twitter	Another Sell Rating    	-0.389	7.19530996681568E+017	Another Sell Rating				
stocktwits	Very nice breakout on a very nice stock    	1	6704349	Very nice breakout on a very nice stock				
twitter	launching shopping bot catalyst2016 #catalyst2016  	0.348	7.19914922310644E+017	launching shopping bot	catalyst2016	#catalyst2016		
twitter	'Buy these 3 stocks while there''s blood in the streets    '	0.415	7.1079271370931E+017	'Buy these 3 stocks while there''s blood in the streets'				
twitter	Goldman Sachs reiterates conviction buy on    	0.334	7.19844737478496E+017	Goldman Sachs reiterates conviction buy on				
stocktwits	losers no profit so sad  	-0.383	15359878	losers	no profit	so sad		
stocktwits	Long term uptrend intract so far    	0.368	39049974	Long term uptrend intract so far				
twitter	the most trending    	0.216	7.09731726726193E+017	the most trending				
twitter	    	0	7.11745824884187E+017					
twitter	Will be adding on dips    	0.154	7.19524924046582E+017	Will be adding on dips				
twitter	Added long at friday close    	0.513	7.19515579372077E+017	Added long at friday close				
twitter	'losing $400M of $AAPL''s business    '	-0.015	7.10491410789753E+017	'losing $400M of $AAPL''s business'				
twitter	#oversold    	0.406	7.10594321481802E+017	#oversold				
twitter	Picking up a couple shares of $GOOG today    	0.364	7.19914872062878E+017	Picking up a couple shares of $GOOG today				
stocktwits	My broker has no shorts who has them?    	-0.533	25995078	My broker has no shorts who has them?				
stocktwits	sales numbers still holding up so well igh end might not be a concern after all.   	0.315	8582567	sales numbers still holding up so well	igh end might not be a concern after all.			
stocktwits	trying to drag $bidu with it.    	-0.524	5409344	trying to drag $bidu with it.				
twitter	over 225 million new Internet users are being added globally every year    	0.337	7.19533807897047E+017	over 225 million new Internet users are being added globally every year				
twitter	downgraded to neutral at Deutsche Bank Price target reduced   	-0.446	7.19839353325756E+017	downgraded to neutral at Deutsche Bank	Price target reduced			
twitter	Five Stocks that Helped Starboard Valueâ€™s Equity Portfolio Return 6.5% in Q1    	0.432	7.19545488702177E+017	Five Stocks that Helped Starboard Valueâ€™s Equity Portfolio Return 6.5% in Q1				
stocktwits	buy zone today take swing trade profits   	0.285	6186217	buy zone today	take swing trade profits			
stocktwits	big picture is BRILLIANT Boy-wonder visionary Zuck!   	0.355	29293945	big picture is BRILLIANT	Boy-wonder visionary Zuck!			
stocktwits	bounce right now has no vol   more vol when it slid    	0.19	8018247	bounce right now has no vol   more vol when it slid				
stocktwits	another story stock with an unhappy ending    	-0.426	14080257	another story stock with an unhappy ending				
twitter	Love it #bullish   	0.648	7.10832265488699E+017	Love it	#bullish			
twitter	Most bullish stocks on Twitter during this dip    	0.408	7.19909604654625E+017	Most bullish stocks on Twitter during this dip				
twitter	Mark Zuckerberg is doing an amazing job    	0.326	7.19513950765892E+017	Mark Zuckerberg is doing an amazing job				
stocktwits	'today''s top gainers    '	0.447	34349961	'today''s top gainers'				
stocktwits	has had a history of a lack of PR shame for investors   	-0.21	10165953	has had a history of a lack of PR	shame for investors			
stocktwits	closed Friday with the RS line in new highs    	0.371	19869247	closed Friday with the RS line in new highs				
stocktwits	look out belooooooowwww    	-0.85	6181018	look out belooooooowwww				
twitter	whole Semiconductor space looks interesting    	0.328	7.19581208120844E+017	whole Semiconductor space looks interesting				
stocktwits	To Combine In $37 Billion Deal    	0.241	37477128	To Combine In $37 Billion Deal				
twitter	peaks above HOD    	0.318	7.19574376832741E+017	peaks above HOD				
stocktwits	Problem for shorts every fund out there will want to buy this thing on a a pullback   	0.358	10179694	Problem for shorts	every fund out there will want to buy this thing on a a pullback			
stocktwits	awesomely bullish stocks    	0.68	6140513	awesomely bullish stocks				
twitter	There is a good base building    	0.228	7.19940431799329E+017	There is a good base building				
twitter	Biggest Market Losers    	-0.438	7.09834259687711E+017	Biggest Market Losers				
twitter	Highest call to put ratio    	0.348	7.19614954500858E+017	Highest call to put ratio				
stocktwits	SOLD to close $QQQ puts for +34%    	-0.059	13043762	SOLD to close $QQQ puts for +34%				
twitter	ooks pretty bullish for now    	0.323	7.19501793546347E+017	ooks pretty bullish for now				
twitter	looks really interesting on drop grabbed some options and stock enough tme before earnings to grow the stock growth all sectors 	0.579	7.19923942841E+017	looks really interesting on drop	grabbed some options and stock	enough tme before earnings to grow the stock	growth all sectors	
twitter	covered some shorts    	0.294	7.19930402757046E+017	covered some shorts				
stocktwits	Add to    	0.483	6427709	Add to				
twitter	triple top forming.    	0.028	7.19590458301633E+017	triple top forming.				
stocktwits	will end up selling for pennies on the dollar    	-0.441	5456001	will end up selling for pennies on the dollar				
twitter	looking sexy this morning break on volume   	0.678	7.19513347268428E+017	looking sexy this morning	break on volume			
twitter	Whole Foods shareholders vote down activist initiatives    	-0.076	7.08439895455322E+017	Whole Foods shareholders vote down activist initiatives				
stocktwits	Imagine $AAPL TV impact!! $$$    	0.24	5512311	Imagine $AAPL TV impact!! $$$				
stocktwits	Southwest Is at Its Lowest Multiple Ever    	0.106	38113800	Southwest Is at Its Lowest Multiple Ever				
twitter	Still too early for an entry    	-0.387	7.11188521487372E+017	Still too early for an entry				
stocktwits	Moved Upper Bollinger Band    	0.498	29695868	Moved Upper Bollinger Band				
twitter	Today I bought more    	0.087	7.19585607215809E+017	Today I bought more				
stocktwits	'won''t have anyone buying products    '	-0.429	5499624	'won''t have anyone buying products'				
twitter	Short Setups Looking Nice....Really Nice    	-0.464	7.09779449663721E+017	Short Setups Looking Nice....Really Nice				
twitter	still long term fan!    	0.377	7.19910804804542E+017	still long term fan!				
twitter	What a nice reversal.    	0.318	7.19619360973845E+017	What a nice reversal.				
twitter	TripAdvisor jumps on M&A rumors    	0.47	7.09401937465233E+017	TripAdvisor jumps on M&A rumors				
twitter	$TSLA Recalls 2  700 Model X Vehicle Shares Volatile   	-0.336	7.19601635639493E+017	$TSLA Recalls 2  700 Model X Vehicle	Shares Volatile			
stocktwits	Long tech calls   	0.384	6203155	Long tech	calls			
twitter	Breakout Should be Confirmed Upturn   	0.448	7.19500715463459E+017	Breakout Should be Confirmed	Upturn			
twitter	Best performers    	0.376	7.19541888940958E+017	Best performers				
twitter	very tight on the avail stock for shorting    	-0.406	7.19693052797981E+017	very tight on the avail stock for shorting				
twitter	get into $WFM and $MJN    	0.415	7.10459573761663E+017	get into $WFM and $MJN				
stocktwits	Stochastic Overbought    	-0.516	39047349	Stochastic Overbought				
stocktwits	Bounced off target buy area    	-0.299	5948586	Bounced off target buy area				
stocktwits	oversold    	0.43	37635102	oversold				
stocktwits	double top reject    	-0.341	14386410	double top reject				
stocktwits	Added. Bounce off of for ride to  	0.47	7764961	Added.	Bounce off of	for ride to		
twitter	working on Cuba deals    	0.419	7.08680512232002E+017	working on Cuba deals				
stocktwits	Dividend Hike Green Light    	0.316	7211448	Dividend Hike Green Light				
stocktwits	I am excited about all these plays    	0.322	25330712	I am excited about all these plays				
stocktwits	commodity weakness    	-0.376	17806735	commodity weakness				
twitter	$fb small flong 109.25 via calls    	0.352	7.19533870702441E+017	$fb small flong 109.25 via calls				
stocktwits	had a nice breakout of the recent consolidation    	0.452	6901519	had a nice breakout of the recent consolidation				
stocktwits	sells flat..I am out..    	-0.541	31615895	sells flat..I am out..				
twitter	Airplane And Hospitality Industries Set Their Sights On #Cuba    	0.405	7.19547552874512E+017	Airplane And Hospitality Industries Set Their Sights On #Cuba				
stocktwits	reserves are in decline    	0.279	5364581	reserves are in decline				
stocktwits	this pull back of    	-0.03	24423708	this pull back of				
twitter	Pie In The Sky    	0.365	7.19849703106552E+017	Pie In The Sky				
twitter	First quarter is amazing    	0.322	7.19888646241956E+017	First quarter is amazing				
twitter	$TFM will have a way to go price wise to compete with Kroger. $KR    	0.129	7.09765994416366E+017	$TFM will have a way to go price wise to compete with Kroger. $KR				
twitter	Sector Stocks Leading Today    	0.454	7.08355634857529E+017	Sector Stocks Leading Today				
stocktwits	biggest St50 gainers    	0.452	6006891	biggest St50 gainers				
stocktwits	Bears Take a Clear Near Term Advantage    	-0.501	6148018	Bears Take a Clear Near Term Advantage				
twitter	Will A Onetime Zombie Stock Rise Again?    	0.241	7.19927785167266E+017	Will A Onetime Zombie Stock Rise Again?				
stocktwits	'today''s bull flag    '	0.2	13796141	'today''s bull flag'				
twitter	iPhone SE Could Be Doing Better Than Expected    	0.395	7.19565319522484E+017	iPhone SE Could Be Doing Better Than Expected				
twitter	Now up to 200 stocks making new 52 week highs    	0.458	7.10514534876721E+017	Now up to 200 stocks making new 52 week highs				
stocktwits	Would short $AMZN on any rally    	-0.621	6119064	Would short $AMZN on any rally				
twitter	after losing about $1 billion on $VRX?    	-0.643	7.1023627289643E+017	after losing about $1 billion on $VRX?				
stocktwits	$CAT +5.10%    	0.586	5514207	$CAT +5.10%				
twitter	The Top 10 brands for #millennials - $AAPL is #1   and $FB is way off the list at #65.    	0.562	7.08417635348652E+017	The Top 10 brands for #millennials - $AAPL is #1   and $FB is way off the list at #65.				
twitter	looking tasty    	0.31	7.1958362447616E+017	looking tasty				
stocktwits	Sell Short Position on    	0.361	15259761	Sell Short Position on				
twitter	Nice day rally!    	0.529	7.19535506980266E+017	Nice day rally!				
stocktwits	damn me and low priced stocks    	-0.482	9447486	damn me and low priced stocks				
stocktwits	Spy the bubble is in stock buy backs    	-0.268	24972160	Spy the bubble is in stock buy backs				
stocktwits	SELL signal by $NDX internals technical SELL   	-0.541	39025868	SELL signal by $NDX internals	technical SELL			
twitter	Bullshit    	-0.209	7.19640388731068E+017	Bullshit				
stocktwits	$X +2.27%    	0.144	5514207	$X +2.27%				
twitter	this is what you get    	-0.007	7.11967372190552E+017	this is what you get				
twitter	Another one to add   already happily holding    	0.448	7.19629586808574E+017	Another one to add   already happily holding				
stocktwits	RSI is down at 20    	0.418	5849492	RSI is down at 20				
twitter	$BABA is going to be an interesting one    	0.233	7.19527100584227E+017	$BABA is going to be an interesting one				
stocktwits	    	0.315	16081190					
stocktwits	'Buy the dip''    '	0.38	22409313	'Buy the dip'''				
twitter	'There''s no reason why $GOOGL can''t get back to $1  000    '	0.288	7.0844606985667E+017	'There''s no reason why $GOOGL can''t get back to $1  000'				
twitter	short    	-0.453	7.11745824884187E+017	short				
stocktwits	Equity indexes working on a positive engulfing for March    	0.308	7399381	Equity indexes working on a positive engulfing for March				
twitter	Highest call to put ratio    	0.348	7.19614954500858E+017	Highest call to put ratio				
stocktwits	Oil slid to a four-year low after #OPEC kept its oil production unchange   	-0.369	29685449	Oil slid to a four-year low after	#OPEC kept its oil production unchange			
stocktwits	sideways    	0	5601699	sideways				
twitter	Unusual Call Activity    	0.421	7.09777793798656E+017	Unusual Call Activity				
stocktwits	green   lol... make-up to cover ugliness    	0.242	21856695	green   lol... make-up to cover ugliness				
twitter	slight green May be runner later   	0.328	7.09758232668021E+017	slight green	May be runner later			
twitter	Pivotal sees 27% upside for Alphabet    	0.372	7.19520383699825E+017	Pivotal sees 27% upside for Alphabet				
twitter	refuse worst decisions ever   	-0.35	7.19631234163483E+017	refuse	worst decisions ever			
stocktwits	profitable hard and software product innovator   	0.559	6234119	profitable hard and software	product innovator			
twitter	$MSFT is opening up its #XboxLive online service    	0.225	7.09435568510378E+017	$MSFT is opening up its #XboxLive online service				
twitter	here we gooo    	0.268	7.10548609532609E+017	here we gooo				
stocktwits	sold my 81 calls    	-0.312	22410478	sold my 81 calls				
stocktwits	at resistance right here sold my shares   	-0.105	36262041	at resistance right here	sold my shares			
stocktwits	Holding    	0.171	11465126	Holding				
twitter	Gevoâ€™s Alcohol to Jet Fuel Now Eligible to be Used for Commercial Flight    	0.392	7.19864087132443E+017	Gevoâ€™s Alcohol to Jet Fuel Now Eligible to be Used for Commercial Flight				
twitter	stocks at support w/ high trade quality    	0.503	7.19866128546181E+017	stocks at support w/ high trade quality				
stocktwits	'finally broke free from big brother''s shadow?    '	0.206	17782586	'finally broke free from big brother''s shadow?'				
stocktwits	I like this Ascending Triangle Breakout coming Monday Looks promising  	0.478	13391009	I like this Ascending Triangle	Breakout coming Monday	Looks promising		
twitter	'I''d be short $fast    '	-0.625	7.19635481772835E+017	'I''d be short $fast'				
twitter	In Play Longs    	0.273	7.19517217247736E+017	In Play Longs				
twitter	the most trending    	0.216	7.09731726726193E+017	the most trending				
twitter	Supermarket Stocks Rally as Tesco Plans to Axe Non-core UK Assets    	0.383	7.19807125648765E+017	Supermarket Stocks Rally as Tesco Plans to Axe Non-core UK Assets				
stocktwits	out of $KRE    	-0.381	10989058	out of $KRE				
stocktwits	time to accumulate for a long position far more upside than downside   	0.668	34147106	time to accumulate for a long position	far more upside than downside			
stocktwits	No edge offered    	0.025	13915103	No edge offered				
twitter	Oil To Break Out Adding Chevron   	0.666	7.10211237058093E+017	Oil To Break Out	Adding Chevron			
stocktwits	Found some good bull setups this week    	0.448	28165236	Found some good bull setups this week				
stocktwits	Sets Up for Breakout    	0.528	5771422	Sets Up for Breakout				
stocktwits	Something big is gonna happen here    	0	14011454	Something big is gonna happen here				
twitter	winning pick this week    	0.452	7.19923951174955E+017	winning pick this week				
twitter	calls popping 5% Stock +1%  	0.472	7.19519249778229E+017	calls	popping 5%	Stock +1%		
stocktwits	Double bottom 5.2    	0.23	35467963	Double bottom 5.2				
stocktwits	lets see one more dip    	-0.274	10524642	lets see one more dip				
stocktwits	consistent gains but small one of my favorite trade   	0.219	8335537	consistent gains but small	one of my favorite trade			
twitter	on cusp of a major bollinger breakout on daily sitting right on its 200 day EMA the force is too strong squeeze the shorts  	0.511	7.09714268359229E+017	on cusp of a major bollinger breakout on daily	sitting right on its 200 day EMA the force is too strong	squeeze the shorts		
stocktwits	hanging tough in down market due to analyst upgrades Up almost 3%   	0.394	7526863	hanging tough in down market due to analyst upgrades	Up almost 3%			
stocktwits	Coal stocks are poking their head up very nice weekly candle   	0.362	25043071	Coal stocks are poking their head up	very nice weekly candle			
stocktwits	Still holding    	0.581	5707322	Still holding				
stocktwits	is exceptionally bullish for Romney   the mkt   and the economy.    	0.421	8899188	is exceptionally bullish for Romney   the mkt   and the economy.				
twitter	Mid-single digits EBITDA growth    	0.357	7.08392446166766E+017	Mid-single digits EBITDA growth				
stocktwits	posts 60 percent jump in 4Q profit steep global sales increase tops Wall St. view  	0.586	6550175	posts 60 percent jump in 4Q profit	steep global sales increase	tops Wall St. view		
stocktwits	Loving BTU and the coal stocks in here    	0.437	8143037	Loving BTU and the coal stocks in here				
stocktwits	watching paint dry low volatility   	0	6981073	watching paint dry	low volatility			
stocktwits	Fundamentally nothing has changed    	0.198	14004893	Fundamentally nothing has changed				
stocktwits	Stares Into the Abyss    	-0.325	5277098	Stares Into the Abyss				
stocktwits	Smartphone Wars Wound Samsung    	0.283	25341716	Smartphone Wars Wound Samsung				
stocktwits	where the growth is not a High P.E. stock   	0.252	5823499	where the growth is	not a High P.E. stock			
twitter	long this morning    	0.476	7.10101981482914E+017	long this morning				
stocktwits	'took my proprietary profit exit didn''t like the option liquidity ousy spreads  '	-0.334	25825005	took my proprietary profit exit	'didn''t like the option liquidity'	ousy spreads		
twitter	$YHOO refuse of $MSFT offer of 45 B is going to go down as one of the worst decisions ever.    	0.012	7.19631234163483E+017	$YHOO refuse of $MSFT offer of 45 B is going to go down as one of the worst decisions ever.				
stocktwits	has gained an average of 0.9% a week for the last nine years    	0.279	6532308	has gained an average of 0.9% a week for the last nine years				
stocktwits	eyeing $RA w take-over interest    	0.041	8562689	eyeing $RA w take-over interest				
twitter	added to our $GILD position started a new one in $BWLD   	0.408	7.19549571924423E+017	added to our $GILD position	started a new one in $BWLD			
twitter	Investor long-term stock recommendation    	0.557	7.11911471660184E+017	Investor long-term stock recommendation				
stocktwits	EPS growth is around 12% so far    	0.316	28428726	EPS growth is around 12% so far				
stocktwits	easonably priced high growth institutional fave glamour name that is going at least 30% higher    	0.342	14873237	easonably priced high growth institutional fave glamour name that is going at least 30% higher				
stocktwits	Bull Of The Day    	0.769	33818248	Bull Of The Day				
stocktwits	'Let''s go up Gilead    '	0.328	36514212	'Let''s go up Gilead'				
stocktwits	European Debt once again Keeps Stocks Down    	-0.374	5835477	European Debt once again Keeps Stocks Down				
stocktwits	Nice little cup-and-handle shaping up favours a good day for the index   	0.342	5721348	Nice little cup-and-handle shaping up	favours a good day for the index			
stocktwits	bail out    	0.058	39031834	bail out				
twitter	I dumped $PYPL and $PRLB    	-0.506	7.1952868160596E+017	I dumped $PYPL and $PRLB				
twitter	Top #NetPayoutYields    	0.426	7.10965451677827E+017	Top #NetPayoutYields				
stocktwits	CFO Sees Profitability From Cash Flow Positive From   	0.211	5358046	CFO Sees Profitability From	Cash Flow Positive From			
stocktwits	Price Target Raised    	0.269	24290516	Price Target Raised				
stocktwits	So sad to see such a loved company eating dirt.    	-0.453	37878654	So sad to see such a loved company eating dirt.				
stocktwits	is up 19%    	0.309	7810443	is up 19%				
twitter	have cash to burn.    	0.356	7.19940405341499E+017	have cash to burn.				
stocktwits	Downbeaten stocks may be ripe for buys    	0.316	21382309	Downbeaten stocks may be ripe for buys				
stocktwits	Strictly day trading this one long and short off 5 minute    	0.035	5351257	Strictly day trading this one long and short off 5 minute				
twitter	Aggressive Buy    	0.306	7.19950370294792E+017	Aggressive Buy				
stocktwits	Long favorite covered call double dip dividend play. touting 	0.444	6356178	Long	favorite covered call	double dip dividend play.	touting	
stocktwits	close above 28.64 we are ready to rock and roll   	0.308	6132488	close above 28.64	we are ready to rock and roll			
stocktwits	Will this cold put a dent in the massive horizontal rig production    	-0.237	32704588	Will this cold put a dent in the massive horizontal rig production				
stocktwits	Long look like a 5-10% run awaits   	0.394	5704829	Long	look like a 5-10% run awaits			
stocktwits	Over the TL it can go to 114   below it can go to 90.    	0	5704210	Over the TL it can go to 114   below it can go to 90.				
stocktwits	accumulating more $BSMX on any pullback    	0.417	11465126	accumulating more $BSMX on any pullback				
twitter	record number of passengers served in 2015    	0.638	7.19904304207962E+017	record number of passengers served in 2015				
stocktwits	then trail up.    	0.236	30087971	then trail up.				
twitter	Bullshit! All #AppleStores are EMPTY in #China    	-0.329	7.09737853639664E+017	Bullshit! All #AppleStores are EMPTY in #China				
twitter	downgrade    	-0.463	7.19520125582504E+017	downgrade				
twitter	another strong rail today after breaking intraday resistance    	0.468	7.08401238879109E+017	another strong rail today after breaking intraday resistance				
twitter	'Heard Netflix is raising its prices. It''s all good it''s worth it though    '	0.275	7.19579764403651E+017	'Heard Netflix is raising its prices. It''s all good it''s worth it though'				
stocktwits	yet not that much (price) has changed    	0.036	13160115	yet not that much (price) has changed				
stocktwits	stocks insiders are bullish on    	0.433	5441240	stocks insiders are bullish on				
stocktwits	Markets Are Still Acting Weak    	-0.443	6139459	Markets Are Still Acting Weak				
twitter	Top #NetPayoutYields    	0.426	7.10965451677827E+017	Top #NetPayoutYields				
stocktwits	S1 above gap. keeping an eye on S2    	0.346	12912068	S1 above gap. keeping an eye on S2				
stocktwits	shorts likely to take profits into close    	-0.503	16475865	shorts likely to take profits into close				
stocktwits	I see no reason to sell yet    	-0.093	5879852	I see no reason to sell yet				
twitter	ripping early    	0.325	7.19520758251147E+017	ripping early				
stocktwits	Keeping my stops a bit on the tight side    	0.135	5376561	Keeping my stops a bit on the tight side				
stocktwits	Receives 7-Year   $50M Contract    	0.497	5879468	Receives 7-Year   $50M Contract				
stocktwits	splat! poor Q1 orders    	-0.453	35847223	splat! poor Q1 orders				
stocktwits	With Oil Prices Down further   Oil Stocks Looking Less Cheap    	-0.42	30827588	With Oil Prices Down further   Oil Stocks Looking Less Cheap				
stocktwits	Finding Support    	0.259	36319076	Finding Support				
stocktwits	    	0	34643450					
stocktwits	    	0.406	39049208					
twitter	$GOOGL patents turn signal detector for autonomous cars.    	0.393	7.19579550972129E+017	$GOOGL patents turn signal detector for autonomous cars.				
stocktwits	wants lower up waves getting smaller   	-0.37	7606330	wants lower	up waves getting smaller			
twitter	add in    	0.354	7.19893043332194E+017	add in				
twitter	I see a 20 percent upside in $FB shares from here    	0.589	7.08681087522886E+017	I see a 20 percent upside in $FB shares from here				
stocktwits	great growth stk & also raised dividend clearly a great investment   	0.597	37922973	great growth stk & also raised dividend	clearly a great investment			
twitter	$ENDP being sued by FT nobody will buy them with that hanging over their heads   	-0.602	7.19562138910482E+017	$ENDP being sued by FT	nobody will buy them with that hanging over their heads			
twitter	Breaking 52 week highs timing looks great now    	0.419	7.19939196627116E+017	Breaking 52 week highs timing looks great now				
twitter	LargeCap Growth fundholders get lift    	0.597	7.08353396315714E+017	LargeCap Growth fundholders get lift				
twitter	progress witnessed truly stunning   	0.436	7.09797021507433E+017	progress witnessed	truly stunning			
stocktwits	trying to drag $bidu with it.    	-0.524	5409344	trying to drag $bidu with it.				
stocktwits	60% short interest or not    	-0.315	35357697	60% short interest or not				
stocktwits	The momo leaders are taken down one by one    	-0.351	12674557	The momo leaders are taken down one by one				
stocktwits	Stochastic Overbought    	-0.385	39047349	Stochastic Overbought				
stocktwits	new squeeze plays    	-0.339	27109636	new squeeze plays				
stocktwits	Active puts    	-0.49	16084152	Active puts				
twitter	Mulls Sale of $1 Billion Venture Capital Portfolio    	0.295	7.08557172389519E+017	Mulls Sale of $1 Billion Venture Capital Portfolio				
stocktwits	strong buy within a month    	0.119	27030874	strong buy within a month				
twitter	'Buy these 3 stocks while there''s blood in the streets    '	0.415	7.1079271370931E+017	'Buy these 3 stocks while there''s blood in the streets'				
